ProduceItemID,Item:,,VendorID,Vendor Name:
40110,beets chioigga,,,
40120,beets choigga,,,
40130,beet bunch gold,,,
40160,peppers mixed hot,,,
40169,eggplant graffiti,,,
40170,watermelon mini,,,
40190,Apples Gold Del,,,
40191,root tumeric,,,
40220,Granny 100ct,,,
40221,Apples Granny,,,
40230,Apples Honeycrisp,,,
40240,Apples Macoun,,,
40279,Apples jazz,,,
40280,Apples Macintosh,,,
40281,Apples gala,,,
40290,Apples Pink Lady,,,
40300,Apples Red Del,,,
40305,Apples fuji,,,
40310,apples Envy,,,
40311,apples Cosmic,,,
40340,Apricots,,,
40342,Apricots Black,,,
40350,Avocados 48ct,,,
40358,Banana Leaves,,,
40360,Bananas 40lb,,,
40370,Bananas Petite,,,
40380,Blackberries,,,
40390,Blueberries,,,
40420,Cherries,,,
40421,Cherries Ranier,,,
40430,Oranges Mandarins,,,
40440,Clementines,,,
40450,Coconuts,,,
40460,Cranberries Cello,,,
40465,Dates Medjool,,,
40470,Dragon Fruit,,,
40480,Figs Fresh,,,
40500,Grapefruit Pink 32ct,,,
40510,Grapefruit Ruby Red,,,
40511,Grapefruit White,,,
40528,Grapes Chapagne,,,
40530,Grapes Concord,,,
40538,Grapes Red Globe Seeded,,,
40540,Grpaes Green Seedless,,,
40560,Grapes Red Seedless,,,
40565,Grapes Black Seedless,,,
40570,Guava Fruit,,,
40580,Kiwi Gold,,,
40582,Kiwi,,,
40583,Kim Chee 12ct,,,
40590,Lemons 95ct,,,
40595,Lemons Meyer,,,
40600,Lemons 140ct,,,
40601,Lime Juice,,,
40602,Lemon Juice,,,
40605,orange juice,,,
40625,Lychee Fruit,,,
40630,Limes 36ct,,,
40631,Limes 200ct,,,
40633,Limes Key,,,
40635,Lotus Root,,,
40650,Mangoes Kent,,,
40651,Mangoes Champagne,,,
40680,Melons Lopes,,,
40690,Melons Charentais,,,
40700,Melons Cranshaw,,,
40740,Melons Honeydew,,,
40750,Melons Galia,,,
40760,Melons Orange Flesh,,,
40761,Melons Canary,,,
40770,Watermelon Yellow,,,
40775,Watermelons Cannonball,,,
40780,Watermelon Bin,,,
40800,Nectarines,,,
40805,Nectarines Donuts,,,
40810,Nectarines White,,,
40820,Oranges 113 Navel,,,
40830,Oranges Blood,,,
40833,Oranges Kumquats Bulk,,,
40834,Oranges Kumquats Pints,,,
40840,Oranges Cara Cara,,,
40860,Oranges Navels 56ct,,,
40880,Oranges Fla Juice,,,
40883,Oranges Temples,,,
40890,Papayas Red,,,
40894,Passionfruit,,,
40900,Peaches,,,
40905,Peaches Donuts,,,
40910,Peaches White,,,
40921,Peaches Native,,,
40930,Pears Bartlett,,,
40931,Pears DAnjou,,,
40950,Pears Bosc,,,
40960,Pears Comice,,,
40965,Pears Asian,,,
40989,Persimmons,,,
40990,Persimmons Hachia,,,
40995,Plantains,,,
41000,Pears Red,,,
41030,Pineapples 7ct,,,
41050,Plums Red,,,
41060,Plums Black,,,
41065,Plums Pluots,,,
41070,Plums Prune,,,
41080,Pomegranates,,,
41081,Pomegranate Arils,,,
41085,Quince,,,
41090,Raspberries,,,
41110,Rhubarb,,,
41115,Star Fruit,,,
41120,Strawberries,,,
41121,Strawberries Stem,,,
41122,Strawberries Cal 8-1,,,
41124,Strawberries Driscoll 8-1,,,
41130,Tangelos,,,
41140,Tangerines,,,
60650,Tomatoes Sun Dried Halves,,,
60651,Tomatoes Sun Dried Whole,,,
92650,watermelon radish,,,
99990,Misc Item 1,,,
99991,Misc Item 2,,,
99992,Misc Item 3,,,
99993,Misc Item 4,,,
99994,Misc Item 5,,,
99995,lettuce olivias butter lettuce,,,
99996,affilia cress,,,
99997,lettuce olivias simple beginnings,,,
99998,apples breaburn,,,
99999,Pepper Yellow,,,
109779,peppers shishito,,,
